Gene PsiValue PsiValue
YBL035C 0.178914272785187 0.178914272785187
YBL036C 1.07179832458496 1.07179832458496
YBL037W 0.0828467726707458 0.0828467726707458
YBL038W 0.34255485534668 0.34255485534668
YBL039C 2.46869239807129 2.46869239807129
YBL040C 0.871704864501953 0.871704864501953
YBL041W 2.13942947387695 2.13942947387695
YBL042C 0.17314121723175 0.17314121723175
YBL045C 0.727987432479858 0.727987432479858
YBL046W 0.12621762752533 0.12621762752533
YBL047C 0.594475507736206 0.594475507736206
YBL050W 1.05921859741211 1.05921859741211
YBL051C 0.567830228805542 0.567830228805542
YBL052C 0.0200243920087814 0.0200243920087814
YBL054W 0.212743592262268 0.212743592262268
YBL055C 0.14553257226944 0.14553257226944
YBL056W 0.537942600250244 0.537942600250244
YBL057C 0.488088130950928 0.488088130950928
YBL058W 1.63211517333984 1.63211517333984
YBL059W 0.306342148780823 0.306342148780823
YBL060W 0.0389328598976135 0.0389328598976135
YBL061C 0.174364590644836 0.174364590644836
YBL063W 0.0357076942920685 0.0357076942920685
YBL064C 0.474845504760742 0.474845504760742
YBL067C 0.132043302059174 0.132043302059174
YBL068W 0.600665616989136 0.600665616989136
YBL069W 0.247187948226929 0.247187948226929
YBL074C 0.0693111300468445 0.0693111300468445
YBL075C 0.014400140941143 0.014400140941143
YBL076C 2.96987762451172 2.96987762451172
YBL079W 0.140658402442932 0.140658402442932
YBL080C 0.0192498907446861 0.0192498907446861
YBL081W 0.189283037185669 0.189283037185669
YBL082C 0.148309183120728 0.148309183120728
YBL084C 0.0442838847637177 0.0442838847637177
YBL085W 0.146211278438568 0.146211278438568
YBL086C 0.0926871418952942 0.0926871418952942
YBL088C 0.00689195469021797 0.00689195469021797
YBL089W 0.0678696691989899 0.0678696691989899
YBL090W 0.583752202987671 0.583752202987671
YBL091C 1.03136215209961 1.03136215209961
YBL091C-A 0.216933417320251 0.216933417320251
YBL093C 0.502607202529907 0.502607202529907
YBL095W 0.0770441174507141 0.0770441174507141
YBL097W 0.0726964890956879 0.0726964890956879
YBL098W 0.123869585990906 0.123869585990906
YBL099W 3.08450450897217 3.08450450897217
YBL101C 0.0737654685974121 0.0737654685974121
YBL102W 0.560607767105103 0.560607767105103
YBL103C 0.17486720085144 0.17486720085144
YBL104C 0.0579792201519012 0.0579792201519012
YBL105C 0.144125020503998 0.144125020503998
YBL106C 0.0280920624732971 0.0280920624732971
YBL107C 0.143418610095978 0.143418610095978
YBR001C 0.110769021511078 0.110769021511078
YBR002C 0.184833884239197 0.184833884239197
YBR003W 0.12577977180481 0.12577977180481
YBR004C 0.104747676849365 0.104747676849365
YBR005W 0.0610232949256897 0.0610232949256897
YBR006W 0.0633337914943695 0.0633337914943695
YBR007C 0.0676849067211151 0.0676849067211151
YBR008C 0.00804784074425697 0.00804784074425697
YBR011C 23.2932250976563 23.2932250976563
YBR014C 0.628318691253662 0.628318691253662
YBR015C 0.089610230922699 0.089610230922699
YBR017C 0.225168657302856 0.225168657302856
YBR018C 0.0249698594212532 0.0249698594212532
YBR020W 0.00233385916799307 0.00233385916799307
YBR021W 0.0379798352718353 0.0379798352718353
YBR022W 0.229392695426941 0.229392695426941
YBR023C 0.185142540931702 0.185142540931702
YBR024W 0.100996899604797 0.100996899604797
YBR025C 6.56155395507812 6.56155395507812
YBR026C 0.530544519424438 0.530544519424438
YBR028C 0.137160086631775 0.137160086631775
YBR029C 0.273527121543884 0.273527121543884
YBR030W 0.062044882774353 0.062044882774353
YBR034C 0.801798057556152 0.801798057556152
YBR035C 1.31078615188599 1.31078615188599
YBR036C 0.430855417251587 0.430855417251587
YBR037C 0.164333379268646 0.164333379268646
YBR038W 0.294115304946899 0.294115304946899
YBR039W 1.52276601791382 1.52276601791382
YBR041W 0.20346086025238 0.20346086025238
YBR042C 0.201098203659058 0.201098203659058
YBR043C 0.0408077031373978 0.0408077031373978
YBR044C 0.040022075176239 0.040022075176239
YBR046C 0.40058708190918 0.40058708190918
YBR047W 0.112520015239716 0.112520015239716
YBR048W 6.256640625 6.256640625
YBR049C 0.559417915344238 0.559417915344238
YBR052C 0.913036727905273 0.913036727905273
YBR053C 0.346722483634949 0.346722483634949
YBR054W 0.300442385673523 0.300442385673523
YBR055C 0.0820539832115173 0.0820539832115173
YBR056W 0.234463763237 0.234463763237
YBR057C 0.305093097686768 0.305093097686768
YBR058C 0.240762090682983 0.240762090682983
YBR059C 0.227468705177307 0.227468705177307
YBR060C 0.0909086048603058 0.0909086048603058
YBR061C 0.299197745323181 0.299197745323181
YBR062C 0.327739715576172 0.327739715576172
YBR063C 0.0135361179709435 0.0135361179709435
YBR065C 0.122923076152802 0.122923076152802
YBR066C 0.289767265319824 0.289767265319824
YBR067C 2.63207969665527 2.63207969665527
YBR068C 0.681549263000488 0.681549263000488
YBR069C 0.436275672912598 0.436275672912598
YBR070C 0.164979541301727 0.164979541301727
YBR071W 0.412063407897949 0.412063407897949
YBR072W 0.284847235679626 0.284847235679626
YBR073W 0.185254216194153 0.185254216194153
YBR074W 0.160487067699432 0.160487067699432
YBR077C 0.300148344039917 0.300148344039917
YBR078W 11.8259155273437 11.8259155273437
YBR079C 1.41465682983398 1.41465682983398
YBR080C 0.624809551239014 0.624809551239014
YBR081C 0.0874944806098938 0.0874944806098938
YBR083W 0.129493892192841 0.129493892192841
YBR084C-A 9.64607696533203 9.64607696533203
YBR084W 0.836959934234619 0.836959934234619
YBR085W 0.165017545223236 0.165017545223236
YBR086C 0.423955869674683 0.423955869674683
YBR087W 0.26379508972168 0.26379508972168
YBR088C 1.56159524917603 1.56159524917603
YBR092C 0.736818218231201 0.736818218231201
YBR093C 0.145736074447632 0.145736074447632
YBR094W 0.141471326351166 0.141471326351166
YBR095C 0.151684856414795 0.151684856414795
YBR096W 0.582315111160278 0.582315111160278
YBR097W 0.0304497808218002 0.0304497808218002
YBR098W 0.0289382338523865 0.0289382338523865
YBR101C 0.925175189971924 0.925175189971924
YBR102C 0.160470628738403 0.160470628738403
YBR103W 0.102988338470459 0.102988338470459
YBR104W 0.475111484527588 0.475111484527588
YBR105C 0.107165443897247 0.107165443897247
YBR106W 7.84165802001953 7.84165802001953
YBR107C 0.02789486348629 0.02789486348629
YBR108W 0.0890389561653137 0.0890389561653137
YBR110W 0.202053332328796 0.202053332328796
YBR111C 1.19588184356689 1.19588184356689
YBR112C 0.360745978355408 0.360745978355408
YBR114W 0.0317542552947998 0.0317542552947998
YBR115C 0.814199447631836 0.814199447631836
YBR119W 0.156449151039124 0.156449151039124
YBR120C 0.272656989097595 0.272656989097595
YBR121C 2.79811172485352 2.79811172485352
YBR122C 0.535856103897095 0.535856103897095
YBR123C 0.161545300483704 0.161545300483704
YBR125C 0.131746506690979 0.131746506690979
YBR126C 1.08527498245239 1.08527498245239
YBR127C 5.43502807617188 5.43502807617188
YBR128C 0.0152576103806496 0.0152576103806496
YBR129C 0.207702231407166 0.207702231407166
YBR130C 0.359463119506836 0.359463119506836
YBR131W 0.0273854613304138 0.0273854613304138
YBR132C 0.0670769512653351 0.0670769512653351
YBR133C 0.0739871740341187 0.0739871740341187
YBR135W 0.391363263130188 0.391363263130188
YBR136W 0.0172393918037415 0.0172393918037415
YBR137W 0.578913116455078 0.578913116455078
YBR138C 0.081508195400238 0.081508195400238
YBR139W 0.297415518760681 0.297415518760681
YBR140C 0.0461571484804153 0.0461571484804153
YBR141C 0.0874630808830261 0.0874630808830261
YBR142W 0.359125018119812 0.359125018119812
YBR143C 2.81257858276367 2.81257858276367
YBR145W 0.192678844928741 0.192678844928741
YBR146W 0.395731997489929 0.395731997489929
YBR147W 0.0144960910081863 0.0144960910081863
YBR149W 0.861162567138672 0.861162567138672
YBR150C 0.0335512101650238 0.0335512101650238
YBR151W 0.336661887168884 0.336661887168884
YBR152W 0.135334539413452 0.135334539413452
YBR153W 0.0912855565547943 0.0912855565547943
YBR154C 2.77078971862793 2.77078971862793
YBR155W 0.624086713790894 0.624086713790894
YBR156C 0.0465126544237137 0.0465126544237137
YBR157C 0.115471541881561 0.115471541881561
YBR158W 0.328420352935791 0.328420352935791
YBR159W 0.838017845153809 0.838017845153809
YBR160W 0.457627105712891 0.457627105712891
YBR161W 0.0846619307994843 0.0846619307994843
YBR162C 4.22465362548828 4.22465362548828
YBR163W 0.0226211994886398 0.0226211994886398
YBR164C 1.75010166168213 1.75010166168213
YBR165W 0.14285089969635 0.14285089969635
YBR166C 0.261015272140503 0.261015272140503
YBR168W 0.0402406811714172 0.0402406811714172
YBR169C 0.117119133472443 0.117119133472443
YBR170C 0.281013560295105 0.281013560295105
YBR171W 1.46970624923706 1.46970624923706
YBR172C 0.269701886177063 0.269701886177063
YBR175W 0.160440170764923 0.160440170764923
YBR176W 0.161207032203674 0.161207032203674
YBR177C 0.425070381164551 0.425070381164551
YBR179C 0.0914830446243286 0.0914830446243286
YBR182C 0.00811175405979156 0.00811175405979156
YBR183W 0.0195199102163315 0.0195199102163315
YBR184W 0.013826185464859 0.013826185464859
YBR185C 0.165707087516785 0.165707087516785
YBR187W 1.1598274230957 1.1598274230957
YBR189W 24.5210601806641 24.5210601806641
YBR191W 4.78893661499023 4.78893661499023
YBR192W 0.178365039825439 0.178365039825439
YBR193C 0.158294630050659 0.158294630050659
YBR195C 0.0945923864841461 0.0945923864841461
YBR196C 15.9234161376953 15.9234161376953
YBR197C 0.218370342254639 0.218370342254639
YBR198C 0.227439284324646 0.227439284324646
YBR199W 0.385868954658508 0.385868954658508
YBR200W 0.220837783813477 0.220837783813477
YBR201W 0.12479100227356 0.12479100227356
YBR202W 0.169995975494385 0.169995975494385
YBR204C 0.0965941488742828 0.0965941488742828
YBR205W 0.665226364135742 0.665226364135742
YBR207W 0.253572106361389 0.253572106361389
YBR208C 0.0674602329730987 0.0674602329730987
YBR211C 0.0992939114570618 0.0992939114570618
