Gene,PhiValue,PhiValue
YBR029C,0.502898158963206,0.502898158963206
YBR030W,0.0839471396979175,0.0839471396979175
YBR034C,1.06241908515405,1.06241908515405
YBR035C,1.73202873909002,1.73202873909002
YBR036C,0.854680181285934,0.854680181285934
YBR037C,0.2300103608014,0.2300103608014
YBR038W,0.398200771040033,0.398200771040033
YBR039W,1.97371329161595,1.97371329161595
YBR041W,0.26899942965526,0.26899942965526
YBR042C,0.285743121044192,0.285743121044192
YBR043C,0.0537618115708957,0.0537618115708957
YBR044C,0.0538020954524791,0.0538020954524791
YBR046C,0.473840252641984,0.473840252641984
YBR047W,0.114199403455183,0.114199403455183
YBR048W,7.10847011554868,7.10847011554868
YBR049C,0.681298320609492,0.681298320609492
YBR052C,1.33987272886596,1.33987272886596
YBR053C,0.487897193623938,0.487897193623938
YBR054W,0.178616759773437,0.178616759773437
YBR055C,0.108287764746006,0.108287764746006
YBR056W,0.282066968227613,0.282066968227613
YBR057C,0.410970819279588,0.410970819279588
YBR058C,0.367483622151963,0.367483622151963
YBR059C,0.301242849509291,0.301242849509291
YBR060C,0.156735245597029,0.156735245597029
YBR061C,0.456445451720259,0.456445451720259
YBR062C,0.450573278885092,0.450573278885092
YBR063C,0.00466981147963963,0.00466981147963963
YBR065C,0.170964006432567,0.170964006432567
YBR066C,0.288831159264857,0.288831159264857
YBR067C,3.35952166781669,3.35952166781669
YBR068C,1.21527448784833,1.21527448784833
YBR069C,1.06973351879173,1.06973351879173
YBR070C,0.210450163271159,0.210450163271159
YBR071W,0.539111736709851,0.539111736709851
YBR072W,0.368128290707348,0.368128290707348
YBR073W,0.25426185488345,0.25426185488345
YBR074W,0.264538562334981,0.264538562334981
YBR077C,0.42469405397559,0.42469405397559
YBR078W,15.7623988721842,15.7623988721842
YBR079C,1.90930707897685,1.90930707897685
YBR080C,0.85850279428484,0.85850279428484
YBR081C,0.114732758944281,0.114732758944281
YBR083W,0.352937307735822,0.352937307735822
YBR084C-A,12.6806890193625,12.6806890193625
YBR084W,1.13394789672821,1.13394789672821
YBR085W,0.218320217150526,0.218320217150526
YBR086C,0.566942848067424,0.566942848067424
YBR087W,0.360282393041415,0.360282393041415
YBR088C,1.91024386897386,1.91024386897386
YBR092C,0.988797239154697,0.988797239154697
YBR093C,0.19962647254364,0.19962647254364
YBR094W,0.198436011010866,0.198436011010866
YBR095C,0.168933999395691,0.168933999395691
YBR096W,0.775651189163332,0.775651189163332
YBR097W,0.0426809724755489,0.0426809724755489
YBR098W,0.0391706633300489,0.0391706633300489
YBR101C,1.37135093365391,1.37135093365391
YBR102C,0.214086584259137,0.214086584259137
YBR103W,0.145138135613356,0.145138135613356
YBR104W,0.523767331989134,0.523767331989134
YBR105C,0.142905815073429,0.142905815073429
YBR106W,9.7859711105578,9.7859711105578
YBR107C,0.0266664944698548,0.0266664944698548
YBR108W,0.147797729232089,0.147797729232089
YBR110W,0.262205039742338,0.262205039742338
YBR111C,1.67778120206682,1.67778120206682
YBR112C,0.478956889045695,0.478956889045695
YBR114W,0.0428860183738601,0.0428860183738601
YBR115C,1.04394567757727,1.04394567757727
YBR119W,0.19956707919374,0.19956707919374
YBR120C,0.31265625027509,0.31265625027509
YBR121C,3.87905806485292,3.87905806485292
YBR122C,0.536060029401687,0.536060029401687
YBR123C,0.208243524840047,0.208243524840047
YBR125C,0.174471466638228,0.174471466638228
YBR126C,1.46249852864486,1.46249852864486
YBR127C,7.25415457129207,7.25415457129207
YBR128C,0.0189279976839375,0.0189279976839375
YBR129C,0.232315505202066,0.232315505202066
YBR130C,0.481291588401834,0.481291588401834
YBR131W,0.0467806127289972,0.0467806127289972
YBR132C,0.0940878472398575,0.0940878472398575
YBR133C,0.0971056674532646,0.0971056674532646
YBR135W,0.32382867325968,0.32382867325968
YBR136W,0.0235780803691029,0.0235780803691029
YBR137W,0.74734107480104,0.74734107480104
YBR138C,0.107778582122319,0.107778582122319
YBR139W,0.412825814550651,0.412825814550651
YBR140C,0.0620212100237372,0.0620212100237372
YBR141C,0.123915428874788,0.123915428874788
YBR142W,0.464899829119978,0.464899829119978
YBR143C,3.73059975281151,3.73059975281151
YBR145W,0.241156604687869,0.241156604687869
YBR146W,0.469904172303379,0.469904172303379
YBR149W,1.15171798326653,1.15171798326653
YBR150C,0.046674784195148,0.046674784195148
YBR151W,0.441745971778904,0.441745971778904
YBR152W,0.150954288122608,0.150954288122608
YBR153W,0.0925993387209939,0.0925993387209939
YBR154C,3.57655400785835,3.57655400785835
YBR155W,0.821044554396318,0.821044554396318
YBR156C,0.063098789850197,0.063098789850197
YBR157C,0.150116866426522,0.150116866426522
YBR158W,0.430711826096282,0.430711826096282
YBR159W,1.17420607079014,1.17420607079014
YBR160W,0.633102046191186,0.633102046191186
YBR161W,0.111403675542422,0.111403675542422
YBR162C,5.82447428066811,5.82447428066811
YBR163W,0.0324406020304302,0.0324406020304302
YBR164C,1.83198963426789,1.83198963426789
YBR165W,0.186506832256267,0.186506832256267
YBR166C,0.344108687604179,0.344108687604179
YBR168W,0.0542436112500013,0.0542436112500013
YBR169C,0.161892115884131,0.161892115884131
YBR170C,0.364643825260615,0.364643825260615
YBR171W,1.66581025118781,1.66581025118781
YBR172C,0.393288113537197,0.393288113537197
YBR175W,0.184269273562909,0.184269273562909
YBR176W,0.207605816011492,0.207605816011492
YBR177C,0.56842236241355,0.56842236241355
