Gene PsiValue PsiValue
YBR126C 0.967655979215887 0.967655979215887
YBR127C 0.967574239127937 0.967574239127937
YBR128C 0.970235732751712 0.970235732751712
YBR129C 0.967840075470341 0.967840075470341
YBR130C 0.96780718788657 0.96780718788657
YBR131W 0.968073558194355 0.968073558194355
YBR132C 0.967823690580602 0.967823690580602
YBR133C 0.96786236307863 0.96786236307863
YBR135W 0.969237295742498 0.969237295742498
YBR136W 0.967986608986788 0.967986608986788
YBR137W 0.967914113770038 0.967914113770038
YBR138C 0.967870827874569 0.967870827874569
YBR139W 0.967656964212632 0.967656964212632
YBR140C 0.96785028727085 0.96785028727085
YBR141C 0.968272956673702 0.968272956673702
YBR142W 0.967557137431156 0.967557137431156
YBR143C 0.967598036110777 0.967598036110777
YBR145W 0.967987611818611 0.967987611818611
YBR146W 0.968124169407498 0.968124169407498
YBR147W 0.972092470871518 0.972092470871518
YBR149W 0.967560378276376 0.967560378276376
YBR150C 0.968334684711411 0.968334684711411
YBR151W 0.967775657088344 0.967775657088344
YBR152W 0.968234086476687 0.968234086476687
YBR153W 0.968896145717573 0.968896145717573
YBR154C 0.967642604351196 0.967642604351196
YBR155W 0.967699285426222 0.967699285426222
YBR156C 0.96789969519151 0.96789969519151
YBR157C 0.968460788530667 0.968460788530667
YBR158W 0.967621744924577 0.967621744924577
YBR159W 0.967677014239854 0.967677014239854
YBR160W 0.967915891879017 0.967915891879017
YBR161W 0.968308819363915 0.968308819363915
YBR162C 0.967621504422957 0.967621504422957
YBR163W 0.969100808200829 0.969100808200829
YBR164C 0.967814437639583 0.967814437639583
YBR165W 0.968019022753314 0.968019022753314
YBR166C 0.96783368654193 0.96783368654193
YBR168W 0.968842428560835 0.968842428560835
YBR169C 0.967945029448793 0.967945029448793
YBR170C 0.967729914713374 0.967729914713374
YBR171W 0.96772056172375 0.96772056172375
YBR172C 0.967717659436173 0.967717659436173
YBR175W 0.968254210860176 0.968254210860176
YBR176W 0.968108013517711 0.968108013517711
YBR177C 0.967616808826651 0.967616808826651
YBR179C 0.967879906948965 0.967879906948965
YBR182C 0.972122323937269 0.972122323937269
YBR183W 0.970329216075634 0.970329216075634
YBR184W 0.969670323535676 0.969670323535676
YBR185C 0.968258858067213 0.968258858067213
YBR187W 0.967734799150934 0.967734799150934
YBR189W 0.967607274513603 0.967607274513603
YBR191W 0.967615955398008 0.967615955398008
YBR192W 0.967654719072346 0.967654719072346
YBR193C 0.968818234414518 0.968818234414518
YBR195C 0.967965428863963 0.967965428863963
YBR196C 0.967575287645604 0.967575287645604
YBR197C 0.968311596736733 0.968311596736733
YBR198C 0.967652329027862 0.967652329027862
YBR199W 0.967794637572379 0.967794637572379
YBR200W 0.96790246474725 0.96790246474725
YBR201W 0.968769362713773 0.968769362713773
YBR202W 0.967713230876749 0.967713230876749
YBR204C 0.968140838702283 0.968140838702283
YBR205W 0.96778342698404 0.96778342698404
YBR207W 0.967867910637108 0.967867910637108
YBR208C 0.967726779500323 0.967726779500323
YBR211C 0.968605335035384 0.968605335035384
YBR212W 0.967870980726598 0.967870980726598
YBR213W 0.968382322571003 0.968382322571003
YBR214W 0.967818896260637 0.967818896260637
YBR215W 0.967784894793012 0.967784894793012
YBR216C 0.967678083890655 0.967678083890655
